Date,steel_rebar,hot_rolled_coil,iron_ore,usd_mxn,coal,steel_rebar_next
2022-10-10,688.0,750.0,97.3499984741211,20.029800415039062,24.73553466796875,691.5
2022-10-11,691.5,736.0,96.97000122070312,19.94029998779297,24.73553466796875,688.56
2022-10-12,688.56,751.0,96.12999725341797,20.06555938720703,24.73553466796875,685.0
2022-10-13,685.0,753.0,95.4000015258789,19.97319984436035,24.73553466796875,683.0
2022-10-14,683.0,751.0,95.93000030517578,19.97570037841797,24.73553466796875,680.0
2022-10-17,680.0,755.0,94.93000030517578,20.015899658203125,24.73553466796875,679.0
2022-10-18,679.0,752.0,95.20999908447266,19.971799850463867,24.73553466796875,677.5
2022-10-19,677.5,758.0,94.86000061035156,20.01889991760254,24.73553466796875,676.0
2022-10-20,676.0,757.0,94.76000213623047,20.127410888671875,24.73553466796875,675.0
2022-10-21,675.0,762.0,94.86000061035156,20.042760848999023,24.73553466796875,680.5
2022-10-24,680.5,757.0,94.51000213623047,19.9325008392334,24.73553466796875,670.0
2022-10-25,670.0,763.0,94.61000061035156,19.908100128173828,24.73553466796875,670.0
2022-10-26,670.0,700.0,93.55999755859375,19.866600036621094,24.73553466796875,674.0
2022-10-27,674.0,697.0,92.80999755859375,19.943029403686523,24.73553466796875,675.0
2022-10-28,675.0,710.0,93.01000213623047,19.840309143066406,24.73553466796875,678.14
2022-10-31,678.14,713.0,92.43000030517578,19.820199966430664,24.73553466796875,637.0
2022-11-01,637.0,709.0,80.02999877929688,19.79319953918457,24.73553466796875,640.0
2022-11-02,640.0,676.0,82.0999984741211,19.724899291992188,24.73553466796875,632.0
2022-11-03,632.0,680.0,83.37000274658203,19.67840003967285,24.73553466796875,633.0
2022-11-04,633.0,678.0,85.16000366210938,19.670270919799805,24.73553466796875,626.5
2022-11-07,626.5,669.0,87.13999938964844,19.5633602142334,24.73553466796875,630.0
2022-11-08,630.0,664.0,85.33000183105469,19.443099975585938,24.73553466796875,633.5
2022-11-09,633.5,664.0,87.51000213623047,19.537620544433594,24.73553466796875,634.5
2022-11-10,634.5,658.0,88.19000244140625,19.56209945678711,24.73553466796875,635.5
2022-11-11,635.5,662.0,90.79000091552734,19.315509796142578,24.73553466796875,639.0
2022-11-14,639.0,673.0,92.08999633789062,19.514429092407227,24.73553466796875,636.0
2022-11-15,636.0,666.0,92.29000091552734,19.33919906616211,24.73553466796875,634.0
2022-11-16,634.0,662.0,92.33999633789062,19.34119987487793,24.73553466796875,636.5
2022-11-17,636.5,662.0,93.08999633789062,19.33333969116211,24.73553466796875,634.5
2022-11-18,634.5,663.0,92.88999938964844,19.399900436401367,24.73553466796875,636.0
2022-11-21,636.0,665.0,91.54000091552734,19.443199157714844,24.73553466796875,634.5
2022-11-22,634.5,663.0,91.44999694824219,19.531600952148438,24.73553466796875,633.5
2022-11-23,633.5,658.0,91.94000244140625,19.441909790039062,24.73553466796875,632.5
2022-11-24,632.5,658.0,91.94000244140625,19.334999084472656,24.73553466796875,634.5
2022-11-25,634.5,656.0,92.73999786376953,19.38129997253418,24.73553466796875,638.0
2022-11-28,638.0,655.0,93.04000091552734,19.34354019165039,24.73553466796875,639.5
2022-11-29,639.5,655.0,92.9000015258789,19.296300888061523,24.73553466796875,636.89
2022-11-30,636.89,655.0,93.25,19.23200035095215,24.73553466796875,661.5
2022-12-01,661.5,660.0,103.0999984741211,19.264850616455078,24.73553466796875,672.5
2022-12-02,672.5,672.0,107.44000244140625,19.128299713134766,24.73553466796875,673.0
2022-12-05,673.0,666.0,107.68000030517578,19.38298988342285,24.73553466796875,674.0
2022-12-06,674.0,671.0,108.48999786376953,19.721399307250977,24.73553466796875,675.0
2022-12-07,675.0,656.0,107.08999633789062,19.7544002532959,24.73553466796875,672.5
2022-12-08,672.5,662.0,109.48999786376953,19.666900634765625,24.73553466796875,676.5
2022-12-09,676.5,667.0,110.4800033569336,19.621559143066406,24.73553466796875,671.0
2022-12-12,671.0,670.0,109.47000122070312,19.786699295043945,24.73553466796875,668.5
2022-12-13,668.5,665.0,109.2300033569336,19.847299575805664,24.73553466796875,669.5
2022-12-14,669.5,670.0,109.26000213623047,19.542020797729492,24.73553466796875,671.0
2022-12-15,671.0,677.0,110.5,19.609399795532227,24.73553466796875,666.5
2022-12-16,666.5,675.0,110.2699966430664,19.74959945678711,24.73553466796875,665.0
2022-12-19,665.0,671.0,109.55999755859375,19.79690933227539,24.73553466796875,661.5
2022-12-20,661.5,670.0,109.86000061035156,19.787599563598633,24.73553466796875,660.5
2022-12-21,660.5,660.0,110.73999786376953,19.754199981689453,24.73553466796875,662.5
2022-12-22,662.5,659.0,110.43000030517578,19.659589767456055,24.73553466796875,667.0
2022-12-23,667.0,661.0,110.4800033569336,19.559499740600586,24.73553466796875,673.0
2022-12-28,673.0,741.0,110.80000305175781,19.462099075317383,24.73553466796875,665.5
2022-12-29,665.5,742.0,110.9800033569336,19.422300338745117,24.73553466796875,664.93
